birdname,TaxonomyId,EnglishName,ScientificName,Count
Sociable lapwing,24720,Sociable Lapwing,Vanellus gregarius,67
White-tailed lapwing,24721,White-tailed Lapwing,Vanellus leucurus,105
Northern lapwing,24708,Northern Lapwing,Vanellus vanellus,1921
Great knot,25035,Great Knot,Calidris tenuirostris,90
Red knot,25009,Red Knot,Calidris canutus,1067
Sanderling,25016,Sanderling,Calidris alba,2227
Semipalmated sandpiper,25036,Semipalmated Sandpiper,Calidris pusilla,361
Western sandpiper,25037,Western Sandpiper,Calidris mauri,79
Red-necked stint,25038,Red-necked Stint,Calidris ruficollis,41
Little stint,25039,Little Stint,Calidris minuta,888
Temminck's stint,25040,Temminck's Stint,Calidris temminckii,364
Long-toed stint,25041,Long-toed Stint,Calidris subminuta,15
Least sandpiper,25042,Least Sandpiper,Calidris minutilla,164
White-rumped sandpiper,25043,White-rumped Sandpiper,Calidris fuscicollis,504
Baird's sandpiper,25044,Baird's Sandpiper,Calidris bairdii,490
Pectoral sandpiper,25045,Pectoral Sandpiper,Calidris melanotos,1304
Sharp-tailed sandpiper,25046,Sharp-tailed Sandpiper,Calidris acuminata,75
Curlew sandpiper,25047,Curlew Sandpiper,Calidris ferruginea,847
Stilt sandpiper,25049,Stilt Sandpiper,Calidris himantopus,200
Purple sandpiper,25048,Purple Sandpiper,Calidris maritima,2089
Dunlin,25024,Dunlin,Calidris alpina,2145
Broad-billed sandpiper,25053,Broad-billed Sandpiper,Calidris falcinellus,186
Buff-breasted sandpiper,25057,Buff-breasted Sandpiper,Calidris subruficollis,774
Jack snipe,24893,Jack Snipe,Lymnocryptes minimus,512
Common snipe,24902,Common Snipe,Gallinago gallinago,1983
Wilson's snipe,24920,Wilson's Snipe,Gallinago delicata,57
Great snipe,24919,Great Snipe,Gallinago media,95
Short-billed dowitcher,24926,Short-billed Dowitcher,Limnodromus griseus,108
Long-billed dowitcher,24930,Long-billed Dowitcher,Limnodromus scolopaceus,674
Eurasian woodcock,24876,Eurasian Woodcock,Scolopax rusticola,273
Black-tailed godwit,24933,Black-tailed Godwit,Limosa limosa,2536
Hudsonian godwit,24945,Hudsonian Godwit,Limosa haemastica,75
Bar-tailed godwit,24937,Bar-tailed Godwit,Limosa lapponica,964
Little curlew,24959,Little Curlew,Numenius minutus,7
Eskimo curlew,24960,Eskimo Curlew,Numenius borealis,0
Hudsonian whimbrel,24954,Hudsonian Whimbrel,Numenius hudsonicus,104
Eurasian curlew,24955,Eurasian Curlew,Numenius arquata,2041
Upland sandpiper,24966,Upland Sandpiper,Bartramia longicauda,84
Terek sandpiper,24992,Terek Sandpiper,Xenus cinereus,136
Common sandpiper,24994,Common Sandpiper,Actitis hypoleucos,1261
Spotted sandpiper,24995,Spotted Sandpiper,Actitis macularius,616
Green sandpiper,24987,Green Sandpiper,Tringa ochropus,898
Solitary sandpiper,24975,Solitary Sandpiper,Tringa solitaria,103
Grey-tailed tattler,24989,Grey-tailed Tattler,Tringa brevipes,24
Spotted redshank,24981,Spotted Redshank,Tringa erythropus,1114
Greater yellowlegs,24985,Greater Yellowlegs,Tringa melanoleuca,178
Lesser yellowlegs,24986,Lesser Yellowlegs,Tringa flavipes,963
Marsh sandpiper,24982,Marsh Sandpiper,Tringa stagnatilis,166
Wood sandpiper,24988,Wood Sandpiper,Tringa glareola,948
Common redshank,24968,Common Redshank,Tringa totanus,2408
Ruddy turnstone,25002,Ruddy Turnstone,Arenaria interpres,2123
Wilson's phalarope,25061,Wilson's Phalarope,Phalaropus tricolor,274
Red-necked phalarope,25062,Red-necked Phalarope,Phalaropus lobatus,620
Grey phalarope,25063,Grey Phalarope,Phalaropus fulicarius,1802
Pomarine skua,25378,Pomarine Skua,Stercorarius pomarinus,421
Arctic skua,25379,Arctic Skua,Stercorarius parasiticus,425
Long-tailed skua,25372,Long-tailed Skua,Stercorarius longicaudus,283
Great skua,25377,Great Skua,Stercorarius skua,545
Ivory gull,25161,Ivory Gull,Pagophila eburnea,271
Sabine's gull,25163,Sabine's Gull,Xema sabini,805
Slender-billed gull,25172,Slender-billed Gull,Chroicocephalus genei,145
Bonaparte's gull,25173,Bonaparte's Gull,Chroicocephalus philadelphia,780
Black-headed gull,25178,Black-headed Gull,Chroicocephalus ridibundus,2367
Little gull,25182,Little Gull,Hydrocoloeus minutus,999
Ross's gull,25184,Ross's Gull,Rhodostethia rosea,284
Laughing gull,25186,Laughing Gull,Leucophaeus atricilla,527
Franklin's gull,25191,Franklin's Gull,Leucophaeus pipixcan,135
Mediterranean gull,25196,Mediterranean Gull,Ichthyaetus melanocephalus,2226
Audouin's gull,25195,Audouin's Gull,Ichthyaetus audouinii,304
Pallas's gull,25197,Pallas's Gull,Ichthyaetus ichthyaetus,60
Common gull,25204,Common Gull,Larus canus,624
Common gull,196566,Ring-billed × Common Gull,Larus delawerensis × canus,0
Ring-billed gull,25248,Ring-billed Gull,Larus delawarensis,1413
Lesser black-backed gull,25238,Lesser Black-backed Gull,Larus fuscus,681
Lesser black-backed gull,196493,Ring-billed × Lesser Black-backed Gull,Larus delawerensis × fuscus,2
European herring gull,25229,European Herring Gull,Larus argentatus,1621
Yellow-legged gull,25235,Yellow-legged Gull,Larus michahellis,678
Caspian gull,25254,Caspian Gull,Larus cachinnans,889
American herring gull,25253,American Herring Gull,Larus smithsonianus,220
Iceland gull,25226,Iceland Gull,Larus glaucoides,2630
Slaty-backed gull,25256,Slaty-backed Gull,Larus schistisagus,26
Glaucous-winged gull,25250,Glaucous-winged Gull,Larus glaucescens,104
Glaucous gull,25221,Glaucous Gull,Larus hyperboreus,1892
Great black-backed gull,25249,Great Black-backed Gull,Larus marinus,534
Aleutian tern,25317,Aleutian Tern,Onychoprion aleuticus,8
Sooty tern,25309,Sooty Tern,Onychoprion fuscatus,88
Bridled tern,25304,Bridled Tern,Onychoprion anaethetus,106
Little tern,25287,Little Tern,Sternula albifrons,284
Gull-billed tern,25258,Gull-billed Tern,Gelochelidon nilotica,265
Caspian tern,25266,Caspian Tern,Hydroprogne caspia,317
Whiskered tern,25353,Whiskered Tern,Chlidonias hybrida,402
Black tern,25357,Black Tern,Chlidonias niger,668
Black tern,25359,American Black Tern,Chlidonias niger surinamensis,128
White-winged tern,25361,White-winged Tern,Chlidonias leucopterus,579
Cabot's tern,25280,Cabot's Tern,Thalasseus acuflavidus,5
Elegant tern,25283,Elegant Tern,Thalasseus elegans,34
Sandwich tern,25285,Sandwich Tern,Thalasseus sandvicensis,945
Royal tern,25269,Royal Tern,Thalasseus maximus,36
Lesser crested tern,25276,Lesser Crested Tern,Thalasseus bengalensis,47
Forster's tern,25349,Forster's Tern,Sterna forsteri,114
Common tern,25329,Common Tern,Sterna hirundo,2052
Common tern,25333,Eastern Common Tern,Sterna hirundo longipennis,9
Roseate tern,25320,Roseate Tern,Sterna dougallii,279
Arctic tern,25348,Arctic Tern,Sterna paradisaea,924
Arctic tern,25334,Antarctic Tern,Sterna vittata,7
Razorbill,25398,Razorbill,Alca torda,761
Great auk,25402,Great Auk,Pinguinus † impennis †,0
Black guillemot,25404,Black Guillemot,Cepphus grylle,646
Long-billed murrelet,25419,Long-billed Murrelet,Brachyramphus perdix,19
Ancient murrelet,25422,Ancient Murrelet,Synthliboramphus antiquus,2
Little auk,25382,Little Auk,Alle alle,261
Tufted puffin,25443,Tufted Puffin,Fratercula cirrhata,24
Pallas's sandgrouse,25448,Pallas's Sandgrouse,Syrrhaptes paradoxus,5
Rock dove,25495,Rock Dove,Columba livia,235
Stock dove,25514,Stock Dove,Columba oenas,429
European turtle dove,25639,European Turtle Dove,Streptopelia turtur,765
Oriental turtle dove,25644,Oriental Turtle Dove,Streptopelia orientalis,92
Mourning dove,25979,Mourning Dove,Zenaida macroura,75
Great spotted cuckoo,26703,Great Spotted Cuckoo,Clamator glandarius,236
Common cuckoo,26892,Common Cuckoo,Cuculus canorus,1652
Black-billed cuckoo,26742,Black-billed Cuckoo,Coccyzus erythropthalmus,46
Yellow-billed cuckoo,26738,Yellow-billed Cuckoo,Coccyzus americanus,37
Barn owl,26927,Barn Owl,Tyto alba,2690
Barn owl,26929,Dark-breasted Barn Owl,Tyto alba guttata,28
Barn owl,26952,Eastern Barn Owl,Tyto javanica,1
Barn owl,26908,Barn owls,Tytonidae,0
Barn owl,158803,American Barn Owl,Tyto furcata,0
Eurasian scops owl,27031,Eurasian Scops Owl,Otus scops,119
Snowy owl,27247,Snowy Owl,Bubo scandiacus,310
Northern hawk-owl,27379,Northern Hawk-Owl,Surnia ulula,98
Little owl,27469,Little Owl,Athene noctua,2794
Tawny owl,27295,Tawny Owl,Strix aluco,890
Long-eared owl,27640,Long-eared Owl,Asio otus,644
Short-eared owl,27648,Short-eared Owl,Asio flammeus,4366
Tengmalm's owl,27511,Tengmalm's Owl,Aegolius funereus,70
European nightjar,27923,European Nightjar,Caprimulgus europaeus,183
Red-necked nightjar,27914,Red-necked Nightjar,Caprimulgus ruficollis,25
Egyptian nightjar,27933,Egyptian Nightjar,Caprimulgus aegyptius,30
Common nighthawk,27773,Common Nighthawk,Chordeiles minor,53
Chimney swift,28294,Chimney Swift,Chaetura pelagica,20
White-throated needletail,28256,White-throated Needletail,Hirundapus caudacutus,3
Common swift,28355,Common Swift,Apus apus,646
Pallid swift,28361,Pallid Swift,Apus pallidus,167
Pallid swift,196187,Common/Pallid Swift,Apus apus/pallidus,0
Pacific swift,28381,Pacific Swift,Apus pacificus,24
Alpine swift,28337,Alpine Swift,Tachymarptis melba,251
Little swift,28384,Little Swift,Apus affinis,87
White-rumped swift,28406,White-rumped Swift,Apus caffer,22
White-rumped swift,28142,White-rumped Swiftlet,Aerodramus spodiopygius,0
Common kingfisher,29924,Common Kingfisher,Alcedo atthis,4556
Belted kingfisher,30014,Belted Kingfisher,Megaceryle alcyon,63
Blue-cheeked bee-eater,30130,Blue-cheeked Bee-eater,Merops persicus,103
European bee-eater,30157,European Bee-eater,Merops apiaster,960
